Name,Date,Check-in,Check-out
Daniel Kwabi,2025-04-06,2025-04-06 08:15:22,2025-04-06 17:05:33
Daniel Osei,2025-04-06,2025-04-06 09:45:10,2025-04-06 16:30:00
K.Possible,2025-04-06,2025-04-06 07:55:18,2025-04-06 17:16:19
Serwaa,2025-04-07,2025-04-07 08:05:22,2025-04-07 16:30:45
Yaa Asantewaa,2025-04-07,2025-04-07 08:30:00,2025-04-07 16:30:45
Kwesi Nkrumah,2025-04-07,2025-04-07 10:15:33,2025-04-07 15:45:12
Esi Piedu,2025-04-08,2025-04-08 07:45:00,2025-04-08 17:30:00
Kwabena Bruce,2025-04-08,2025-04-08 08:00:00,2025-04-08 12:00:00
Adwoa Safo,2025-04-08,2025-04-08 09:00:00,2025-04-08 17:00:00
Raphael Ashong,2025-04-09,2025-04-09 08:25:29,2025-04-09 17:30:45
Nana Ama,2025-04-09,2025-04-09 08:00:00,2025-04-09 16:30:00
Kofi Ransford,2025-04-09,2025-04-09 08:14:32,2025-04-09 17:30:45
Akosua Amankwaa,2025-04-10,2025-04-10 08:15:00,2025-04-10 17:15:00
Yaw Adu,2025-04-10,2025-04-10 08:30:00,2025-04-10 12:45:00
Abena Dwamena,2025-04-10,2025-04-10 09:30:00,2025-04-10 17:30:00
Nana Kwame,2025-04-10,2025-04-10 07:23:50,2025-04-10 19:30:45  # Early arrival + overtime
Ignatius,2025-04-10,2025-04-10 08:39:29,2025-04-10 20:30:45  # Significant overtime
Daniel Kwabi,2025-04-20,2025-04-20 08:10:27,2025-04-20 18:30:45
philip,2025-05-05,2025-05-05 08:48:29,2025-05-05 17:30:45
Adom,2025-05-05,2025-05-05 08:50:51,2025-05-05 17:30:45
Raphel,2025-05-05,2025-05-05 08:53:44,2025-05-05 17:30:45
Daniel Kwabi,2025-05-12,2025-05-12 08:45:37,2025-05-12 19:15:22  # Overtime
Nana Kwame,2025-04-11,2025-04-11 07:15:00,2025-04-11 18:45:00  # Early + overtime
Ignatius,2025-04-11,2025-04-11 08:00:00,2025-04-11 21:30:00  # Long overtime
Daniel Kwabi,2025-04-21,2025-04-21 08:05:00,2025-04-21 18:05:00
Nana Kwame,2025-04-14,2025-04-14 07:30:00,2025-04-14 17:45:00
Ignatius,2025-04-15,2025-04-15 08:10:00,2025-04-15 20:45:00  # Overtime
K.Possible,2025-04-16,2025-04-16 07:50:00,2025-04-16 17:20:00
Serwaa,2025-04-17,2025-04-17 08:00:00,2025-04-17 16:30:00
EVANS  OPPONG,2025-06-12,2025-06-12 10:27:12,2025-06-12 10:35:10
